[0.0, -0.68941418633264406]
[0.1, -0.69573575401928889]
[0.2, -0.55508087299129849]
[0.30000000000000004, -0.4270691273366336]
[0.4, -0.28799463823034027]
[0.5, -0.12047309453407357]
[0.6, 0.015440610728897323]
[0.7, 0.19402489787679245]
[0.7999999999999999, 0.21298960093672684]
[0.8999999999999999, 0.64917777131561294]
[0.9999999999999999, 0.77560912504861668]
[1.0999999999999999, 0.87517381611337997]
[1.2, 1.0379541840446271]
[1.3, 1.1359384831877293]
[1.4000000000000001, 1.4520168675202565]
[1.5000000000000002, 1.472561962501852]
[1.6000000000000003, 1.5262952878383689]
[1.7000000000000004, 1.2434051338607626]
[1.8000000000000005, 1.0774639820861931]
[1.9000000000000006, 0.60018562174407986]
[2.0000000000000004, 0.47217387608941497]
[2.1000000000000005, 0.21456999285838804]
[2.2000000000000006, -0.17420641987062618]
[2.3000000000000007, -0.26586915132704758]
[2.400000000000001, -0.52821421032305815]
[2.500000000000001, -0.70837888939257854]
[2.600000000000001, -0.91382983920871397]
[2.700000000000001, -1.0450023687067371]
[2.800000000000001, -1.1161200051815272]
[2.9000000000000012, -1.285221940799455]
[3.0000000000000013, -1.2962846842510833]
[3.1000000000000014, -1.3184101711543761]
[3.2000000000000015, -1.22832783161958]
[3.3000000000000016, -1.059225896001688]
[3.4000000000000017, -0.91541023113037523]
[3.5000000000000018, -0.83322985120392101]
[3.600000000000002, -0.6988965378626113]
[3.700000000000002, -0.53611616993136413]
[3.800000000000002, -0.51082989918474897]
[3.900000000000002, -0.46025735769155468]
[4.000000000000002, -0.24216327250209366]
[4.100000000000001, -0.25322601595375799]
[4.200000000000001, -0.11573191876908998]
[4.300000000000001, 0.17189941097349973]
[4.4, 0.41527976690953994]
[4.5, 0.65866012284558018]
[4.6, 0.82460127462018562]
[4.699999999999999, 1.0490169274962555]
[4.799999999999999, 1.6938168315346356]
[4.899999999999999, 2.0636285412036792]
[4.999999999999998, 2.0494050139087285]
[5.099999999999998, 2.2975265456097524]
[5.1999999999999975, 2.5709343480573912]
[5.299999999999997, 2.3149108567480257]
[5.399999999999997, 1.9688050259039356]
[5.4999999999999964, 1.2797541480590062]
[5.599999999999996, 0.85304832921008722]
[5.699999999999996, 0.78667186850028092]
[5.799999999999995, 0.45004838918612222]
[5.899999999999995, 0.29200919701985861]
[5.999999999999995, 0.12290726140196663]
[6.099999999999994, -0.14101818951570508]
[6.199999999999994, -0.39072011313839006]
[6.299999999999994, -0.6988965378626113]
[6.399999999999993, -0.73208476821753243]
[6.499999999999993, -0.82058671583063136]
[6.5999999999999925, -1.0797709909833195]
[6.699999999999992, -1.3421160499792941]
[6.799999999999992, -1.3247317388410209]
[6.8999999999999915, -1.4559042683390082]
[6.999999999999991, -1.4195552541407648]
[7.099999999999991, -1.2725788054261296]
[7.19999999999999, -1.163531762831435]
[7.29999999999999, -1.0781905990616583]
[7.39999999999999, -1.139825884006481]
[7.499999999999989, -1.0291984494900892]
[7.599999999999989, -0.77001417433743713]
[7.699999999999989, -0.5582416568346209]
[7.799999999999988, -0.37649658584343931]
[7.899999999999988, -0.21529660983385329]
[7.999999999999988, -0.035131930764296972]
[8.099999999999987, -0.022488795391007378]
[8.199999999999987, -0.095186823787494393]
[8.299999999999986, 0.073915111830433547]
[8.399999999999986, 0.15451509983522654]
[8.499999999999986, 0.12606804524528903]
[8.599999999999985, 0.26988371011660184]
