[0.0, -0.27098369845655895]
[0.1, -0.29027516419837024]
[0.2, 0.14906581356123405]
[0.30000000000000004, -0.14385089418632471]
[0.4, -0.09436112694761721]
[0.5, 0.17619656750201482]
[0.6, 0.15404205737449111]
[0.7, -0.077455531527229032]
[0.7999999999999999, 0.088873713737844709]
[0.8999999999999999, 0.032839845046084712]
[0.9999999999999999, 0.21307530589889886]
[1.0999999999999999, -0.10758566530065755]
[1.2, 0.10584747688170057]
[1.3, 0.22023291686317598]
[1.4000000000000001, 0.26399659533046643]
[1.5000000000000002, -0.058027730338482367]
[1.6000000000000003, -0.064367328621124056]
[1.7000000000000004, 0.082874954072549176]
[1.8000000000000005, -0.15291720140774345]
[1.9000000000000006, -0.074524319418048948]
[2.0000000000000004, 0.26454193711821566]
[2.1000000000000005, -0.233764121442321]
[2.2000000000000006, -0.094770133288431049]
[2.3000000000000007, 0.13638661699594293]
[2.400000000000001, 0.0890782169082555]
[2.500000000000001, 0.2204374200335868]
[2.600000000000001, 0.094258963891923342]
[2.700000000000001, -0.080250408189473751]
[2.800000000000001, 0.16188134557346057]
[2.9000000000000012, -0.073638139012953588]
[3.0000000000000013, 0.10039405900415424]
[3.1000000000000014, 0.1935793369866845]
[3.2000000000000015, 0.2190740655641944]
[3.3000000000000016, -0.13233054892001517]
[3.4000000000000017, -0.043712508409928109]
[3.5000000000000018, 0.077694207088881334]
[3.600000000000002, 0.13734096512451371]
[3.700000000000002, 0.026704749933846066]
[3.800000000000002, -0.19981659515461703]
[3.900000000000002, 0.009049309555305635]
[4.000000000000002, 0.2759941146610575]
[4.100000000000001, -0.095928984587412655]
[4.200000000000001, 0.10087123306844352]
[4.300000000000001, 0.0048229107002085913]
[4.4, 0.267950323291685]
[4.5, 0.070945602465418048]
[4.6, -0.067503043900714932]
[4.699999999999999, 0.049949943636875938]
[4.799999999999999, -0.10213224742311898]
[4.899999999999999, -0.055437356846648446]
[4.999999999999998, 0.16385820955406985]
[5.099999999999998, -0.028579273799746171]
[5.1999999999999975, 0.15779128216529886]
[5.299999999999997, 0.22732236010398543]
[5.399999999999997, 0.15213336111734951]
[5.4999999999999964, -0.17909360721994563]
[5.599999999999996, 0.2374111831774349]
[5.699999999999996, 0.12404825904799795]
[5.799999999999995, 0.095008808850083351]
[5.899999999999995, 0.24150124658559657]
[5.999999999999995, -0.057550556274200838]
[6.099999999999994, 0.13625028154900756]
[6.199999999999994, 0.22071009092745753]
[6.299999999999994, 0.097122008277628]
[6.399999999999993, -0.19075028793319829]
[6.499999999999993, 0.024932389123647581]
[6.5999999999999925, 0.27613045010800064]
[6.699999999999992, -0.27643711633410528]
[6.799999999999992, -0.093747617436392566]
[6.8999999999999915, 0.18717157098056739]
[6.999999999999991, -0.15946130286079593]
[7.099999999999991, -0.10090522840066971]
[7.19999999999999, 0.17633290294895018]
[7.29999999999999, 0.2236413030366376]
[7.39999999999999, 0.14804329770919558]
[7.499999999999989, 0.14374873113063086]
[7.599999999999989, -0.21747203553316521]
[7.699999999999989, -0.038259090532389538]
[7.799999999999988, -0.16055198643630209]
[7.899999999999988, 0.018388287670595093]
[7.999999999999988, 0.32275717296099571]
